name,time
Natural Selection 2,10.998958333333334
Navy Field 2  Conqueror of the Ocean,2.2176470588235295
Need for Speed Hot Pursuit,10.939285714285715
Need for Speed SHIFT,5.07
Need for Speed Undercover,9.683333333333334
Nether,7.6911764705882355
Neverwinter,25.378676470588236
Neverwinter Nights 2 Platinum,43.199999999999996
Next Car Game Sneak Peek 2.0,0.79375
Next Car Game Wreckfest,4.260714285714285
Nidhogg,3.90625
NightSky,0.5599999999999999
No More Room in Hell,5.7443478260869565
Nosferatu The Wrath of Malachi,1.6454545454545455
Nosgoth,7.724561403508773
Nuclear Dawn,8.458333333333334
Nuclear Throne,5.927272727272728
ORION Prelude,5.08875
Octodad Dadliest Catch,6.175
Oddworld Abe's Oddysee,1.8933333333333333
Omerta - City of Gangsters,17.223529411764705
One Finger Death Punch,8.19090909090909
Only If,0.8694444444444445
Operation Flashpoint Dragon Rising,3.905882352941177
Orcs Must Die!,9.141935483870967
Orcs Must Die! 2,12.775531914893618
Order of War,4.633333333333334
Organ Trail Director's Cut,2.3923076923076922
Ori and the Blind Forest,16.032258064516128
Osmos,1.7272727272727273
Out There Somewhere,2.62
Outlast,5.38169014084507
Overlord,14.113636363636363
Overlord II,11.082758620689654
PAC-MAN Championship Edition DX+,3.1692307692307695
PAYDAY 2,47.775835475578404
PAYDAY The Heist,7.4950495049504955
POSTAL 2,5.41
PROTOTYPE 2,23.98
Painkiller Hell & Damnation,3.3266666666666667
Panzar,10.894117647058822
"Papers, Please",3.8297297297297295
Patch testing for Chivalry,1.6818181818181819
Path of Exile,47.513684210526314
Peggle Deluxe,4.861538461538462
Penumbra Overture,2.152941176470588
Pid ,1.6866666666666668
Piercing Blow,2.49
Pillars of Eternity,37.15121951219513
Pinball Arcade,0.8799999999999999
Pinball FX2,15.97272727272727
"Pirates, Vikings, & Knights II",8.686666666666667
Pixel Piracy,6.188461538461539
Plague Inc Evolved,10.262222222222222
Plain Sight,3.0250000000000004
Planet Explorers,15.700000000000001
PlanetSide 2,22.49138755980861
Planetary Annihilation,11.957575757575759
Planetary Annihilation TITANS,9.645454545454545
Plants vs. Zombies Game of the Year,43.35
Poker Night 2,5.114285714285714
Poker Night at the Inventory,5.806060606060606
Polarity,5.561538461538461
Poly Bridge,5.383333333333334
